_id,institution,campus,id,name
YmoD48KPijHF98WY5,uw.edu,seattle,AMATH,AMATH
YwLJ2CAGZmsJq4yfx,uw.edu,seattle,SOCW,SOCW
ZfSdBg8gxeasdgjFj,uw.edu,seattle,ANTH,ANTH
ZoYkwrk2rCR4joe5e,uw.edu,seattle,BIOST,BIOST
ZxryxfvaKcFBjGB28,uw.edu,seattle,SMEA,SMEA
bN8sCwBTWLptLd9xD,uw.edu,seattle,JAPAN,JAPAN
bWqePTNkgQHjaA32B,uw.edu,seattle,LAWH,LAWH
bhR5fPKDR2tEbX3tG,uw.edu,seattle,LSJ,LSJ
bu3PALow6noRPYM3y,uw.edu,seattle,FISH,FISH
c82BdsxjLKsMLs2fx,uw.edu,seattle,ATMS,ATMS
cjHrQ2jckCwo6X9LB,uw.edu,seattle,MSIS,MSIS
crTWHHNN4zYyNg8SA,uw.edu,seattle,POLSH,POLSH
ct7z7kXWsXNRgpbhC,uw.edu,seattle,CEE,CEE
d4Gs7g5bgkjtWz2Bh,uw.edu,seattle,OCEAN,OCEAN
dWtZvstr9zAks7Ybw,uw.edu,seattle,RUSS,RUSS
dX436wgGuBmXcRSLu,uw.edu,seattle,DRAMA,DRAMA
ddA5fATq5SmxCrS5B,uw.edu,seattle,ARCH,ARCH
f8FYyv6qHDnAuFD99,uw.edu,seattle,BIOA,BIOA
fFxNd84npPbHucxys,uw.edu,seattle,IBUS,IBUS
fJNBzNyus8qm5JRpL,uw.edu,seattle,HSTAS,HSTAS
fmdBhfsBWHGYCrTjs,uw.edu,seattle,GERMAN,GERMAN
g942GbahyxmCcMGWM,uw.edu,seattle,JSISB,JSISB
gf9C6KgsmDxFywdDe,uw.edu,seattle,LING,LING
gixrEGASK3zXAaeYW,uw.edu,seattle,PHYS,PHYS
hDLp8P6t795iEewsS,uw.edu,seattle,HCID,HCID
hgzCXcvpqwcuebKCQ,uw.edu,seattle,CHID,CHID
hpdDpQucpRAL2zq8i,uw.edu,seattle,BIOL,BIOL
humR8i9LgcP9DsogL,uw.edu,seattle,ASIAN,ASIAN
hztEL6cbiknvkb6uN,uw.edu,seattle,COM,COM
iBereBMeYM5zFTWb4,uw.edu,seattle,IMMUN,IMMUN
ia2tYYZPJse46D3Su,uw.edu,seattle,RHBPO,RHBPO
ifkfj4Te494Ev7NwG,uw.edu,seattle,CHSTU,CHSTU
ihsNp6xZEKWFhrJGR,uw.edu,seattle,CLAS,CLAS
ijwLdiQLRgQFDcA3P,uw.edu,seattle,MKTG,MKTG
jCcPKjQpCF63eaEMP,uw.edu,seattle,ARCHY,ARCHY
jTrejYqa8bRLiJW4v,uw.edu,seattle,EARLY,EARLY
kJ9NGo3vrQtrt4y2E,uw.edu,seattle,FIN,FIN
kTJThHrYyjdgG6nHm,uw.edu,seattle,QSCI,QSCI
min2xJTqdN96KoTML,uw.edu,seattle,POLS,POLS
mvqjAS9Rz8ys8pxaF,uw.edu,seattle,NBIO,NBIO
mwZNjbT5bkh7d5Qso,uw.edu,seattle,DANISH,DANISH
nFJkmNpJFzQWupT7J,uw.edu,seattle,FRENCH,FRENCH
nsgPA7mbQ58tqn2G7,uw.edu,seattle,MUSIC,MUSIC
nzhDnRb8hznBX5BdM,uw.edu,seattle,LAWA,LAWA
opyBKLf4SqrZ6d7Qj,uw.edu,seattle,SCAND,SCAND
ovCfjtC8o9wGYjCdY,uw.edu,seattle,SEFS,SEFS
pWDK3W7EbHHGe4EHp,uw.edu,seattle,PHIL,PHIL
q6cyuFfcXtD3bNdiA,uw.edu,seattle,CHEME,CHEME
