_id,institution,campus,quarter,departmentId,departmentName,courseId,courseName,sectionsCount
Y8r7s6wGgnZkvZfit,uw.edu,seattle,AUTUMN,JSISB,JSISB,JSISB360,JSISB360,1
YCqZKYB6A2TXtTCob,uw.edu,seattle,SUMMER,ITAL,ITAL,ITAL134,ITAL134,1
YQAw3uwWFfYuKMNfG,uw.edu,seattle,AUTUMN,CHEM,CHEM,CHEM312,CHEM312,1
YSqdjZvbHioiwLgQ5,uw.edu,seattle,AUTUMN,LING,LING,LING507,LING507,1
YY5HC83cnC3JyxFYN,uw.edu,seattle,AUTUMN,SPAN,SPAN,SPAN202,SPAN202,3
YYX8rGa68PFddE4ZM,uw.edu,seattle,AUTUMN,EARLY,EARLY,EARLYC LIT240,EARLYC LIT240,1
YgfBfuRyGiR6d6Dfu,uw.edu,seattle,AUTUMN,PHYS,PHYS,PHYS501,PHYS501,1
Yh8jfgY3FWwCqHphX,uw.edu,seattle,AUTUMN,RELIG,RELIG,RELIG202,RELIG202,1
Yp9qQMaziZCfYzHpa,uw.edu,seattle,AUTUMN,HONORS,HONORS,HONORS240,HONORS240,1
YpagWpWwqkBzwasXy,uw.edu,seattle,AUTUMN,STAT,STAT,STAT512,STAT512,2
YquY9JxivomizoiJq,uw.edu,seattle,AUTUMN,DANISH,DANISH,DANISH310,DANISH310,1
YvAHtyKxNCy8QnDmn,uw.edu,seattle,SUMMER,CHEM,CHEM,CHEM223,CHEM223,1
YvvzscqQZTwPMSHXS,uw.edu,seattle,AUTUMN,PSYCH,PSYCH,PSYCH448,PSYCH448,1
YziNWhRcpSxJwxAmM,uw.edu,seattle,SUMMER,ENTRE,ENTRE,ENTRE564,ENTRE564,1
Z2uyXYKASCt3xL4Hv,uw.edu,seattle,SUMMER,CLAS,CLAS,CLAS430,CLAS430,1
Z7tzzkd3mgJeHt6GE,uw.edu,seattle,AUTUMN,EDSPE,EDSPE,EDSPE520,EDSPE520,1
Z7x5cAybuTf6Rn8Co,uw.edu,seattle,SUMMER,PSYCH,PSYCH,PSYCH209,PSYCH209,1
Z8MGeZY6vwxzAhguN,uw.edu,seattle,SUMMER,SPHSC,SPHSC,SPHSC308,SPHSC308,2
Z9DWCtryKyPD2iAAu,uw.edu,seattle,AUTUMN,QSCI,QSCI,QSCI190,QSCI190,1
ZC4q3AG9gu2NxcW5u,uw.edu,seattle,AUTUMN,PHYS,PHYS,PHYS224,PHYS224,1
ZF4B4c6rTi5QW56uD,uw.edu,seattle,AUTUMN,ARTH,ARTH,ARTH214,ARTH214,1
ZGD8Qr9dgPphqkJ9z,uw.edu,seattle,SUMMER,JSISB,JSISB,JSISB331,JSISB331,1
ZGDmEy3i8oDZgNtdA,uw.edu,seattle,AUTUMN,CM,CM,CM311,CM311,2
ZGssJY2L8RAy459Ny,uw.edu,seattle,SUMMER,ANTH,ANTH,ANTH233,ANTH233,1
